dataset,k,nthreads,name,distance,sparsity,measure,value
tiny,100,4,MC_KMplusplusLSpp,SQRL2,dense,cost,28141854
PBMC,3,4,SKL_KMplusplus,SQRL2,sparse,time,8.439188241958618
PBMC,3,4,SKL_KMplusplus,SQRL2,sparse,cost,386439776
PBMC,3,4,MC_KMplusplus,SQRL2,sparse,time,0.6336438655853271
PBMC,3,4,MC_KMplusplus,SQRL2,sparse,cost,332415137
PBMC,3,4,MC_KMpp_and_LSpp,SQRL2,sparse,time,3.1645238399505615
PBMC,3,4,MC_KMplusplusLSpp,SQRL2,sparse,cost,315095773
PBMC,3,4,MC_KM++,JSD,sparse,time,0.8392543792724609
PBMC,3,4,MC_KM++,JSD,sparse,cost,3867.3529280647635
PBMC,3,4,MC_KMLS++,JSD,sparse,time,4.397636890411377
PBMC,3,4,MC_KMLS++,JSD,sparse,cost,3623.14711243473
PBMC,3,4,MC_KM++,MKL,sparse,time,0.676093578338623
PBMC,3,4,MC_KM++,MKL,sparse,cost,18665.844829559326
PBMC,3,4,MC_KMLS++,MKL,sparse,time,3.318920850753784
PBMC,3,4,MC_KMLS++,MKL,sparse,cost,16445.830398842692
PBMC,3,4,MC_KM++,HELL,sparse,time,0.6271772384643555
PBMC,3,4,MC_KM++,HELL,sparse,cost,17015.376717642353
PBMC,3,4,MC_KMLS++,HELL,sparse,time,3.118007183074951
PBMC,3,4,MC_KMLS++,HELL,sparse,cost,16868.419149146794
PBMC,3,4,MC_KM++,BATMET,sparse,time,0.558189868927002
PBMC,3,4,MC_KM++,BATMET,sparse,cost,10626.308383311625
PBMC,3,4,MC_KMLS++,BATMET,sparse,time,2.839567184448242
PBMC,3,4,MC_KMLS++,BATMET,sparse,cost,10140.325365045912
PBMC,3,4,MC_KM++,BATDIST,sparse,time,0.5404751300811768
PBMC,3,4,MC_KM++,BATDIST,sparse,cost,10516.565919535082
PBMC,3,4,MC_KMLS++,BATDIST,sparse,time,3.007432699203491
PBMC,3,4,MC_KMLS++,BATDIST,sparse,cost,10168.10145185158
PBMC,3,4,MC_KM++,RMKL,sparse,time,0.6514453887939453
PBMC,3,4,MC_KM++,RMKL,sparse,cost,20436.920919552445
PBMC,3,4,MC_KMLS++,RMKL,sparse,time,3.0498766899108887
PBMC,3,4,MC_KMLS++,RMKL,sparse,cost,18389.908622041345
PBMC,3,4,SKL_KMplusplus,SQRL2,dense,time,3.690115213394165
PBMC,3,4,SKL_KMplusplus,SQRL2,dense,cost,1e+308
PBMC,3,4,MC_KMplusplus,SQRL2,dense,time,0.14821076393127441
PBMC,3,4,MC_KMplusplus,SQRL2,dense,cost,265362976
PBMC,3,4,MC_KMpp_and_LSpp,SQRL2,dense,time,0.6474123001098633
PBMC,3,4,MC_KMplusplusLSpp,SQRL2,dense,cost,254629184
PBMC,10,4,SKL_KMplusplus,SQRL2,sparse,time,24.661828994750977
PBMC,10,4,SKL_KMplusplus,SQRL2,sparse,cost,254375648
PBMC,10,4,MC_KMplusplus,SQRL2,sparse,time,1.8068256378173828
PBMC,10,4,MC_KMplusplus,SQRL2,sparse,cost,257916426
PBMC,10,4,MC_KMpp_and_LSpp,SQRL2,sparse,time,6.8387627601623535
PBMC,10,4,MC_KMplusplusLSpp,SQRL2,sparse,cost,260320609
PBMC,10,4,MC_KM++,JSD,sparse,time,2.2238943576812744
PBMC,10,4,MC_KM++,JSD,sparse,cost,3514.545393722132
PBMC,10,4,MC_KMLS++,JSD,sparse,time,8.701330661773682
PBMC,10,4,MC_KMLS++,JSD,sparse,cost,3513.3564541134983
PBMC,10,4,MC_KM++,MKL,sparse,time,2.009669303894043
PBMC,10,4,MC_KM++,MKL,sparse,cost,15986.078161418438
PBMC,10,4,MC_KMLS++,MKL,sparse,time,7.28581690788269
PBMC,10,4,MC_KMLS++,MKL,sparse,cost,17012.630023896694
PBMC,10,4,MC_KM++,HELL,sparse,time,1.8819165229797363
PBMC,10,4,MC_KM++,HELL,sparse,cost,16645.809832348317
PBMC,10,4,MC_KMLS++,HELL,sparse,time,6.598300933837891
PBMC,10,4,MC_KMLS++,HELL,sparse,cost,16454.46878111191
PBMC,10,4,MC_KM++,BATMET,sparse,time,1.679673194885254
PBMC,10,4,MC_KM++,BATMET,sparse,cost,9787.776112750333
PBMC,10,4,MC_KMLS++,BATMET,sparse,time,6.126945972442627
PBMC,10,4,MC_KMLS++,BATMET,sparse,cost,9557.257454826511
PBMC,10,4,MC_KM++,BATDIST,sparse,time,1.7819874286651611
PBMC,10,4,MC_KM++,BATDIST,sparse,cost,10032.40605487987
PBMC,10,4,MC_KMLS++,BATDIST,sparse,time,5.937240839004517
PBMC,10,4,MC_KMLS++,BATDIST,sparse,cost,9605.052333014173
PBMC,10,4,MC_KM++,RMKL,sparse,time,2.1213715076446533
PBMC,10,4,MC_KM++,RMKL,sparse,cost,18730.99312789738
PBMC,10,4,MC_KMLS++,RMKL,sparse,time,7.275830268859863
PBMC,10,4,MC_KMLS++,RMKL,sparse,cost,17093.298436522484
PBMC,10,4,SKL_KMplusplus,SQRL2,dense,time,8.59061336517334
PBMC,10,4,SKL_KMplusplus,SQRL2,dense,cost,1e+308
PBMC,10,4,MC_KMplusplus,SQRL2,dense,time,0.44840431213378906
PBMC,10,4,MC_KMplusplus,SQRL2,dense,cost,212592800
PBMC,10,4,MC_KMpp_and_LSpp,SQRL2,dense,time,1.5735080242156982
PBMC,10,4,MC_KMplusplusLSpp,SQRL2,dense,cost,194457824
PBMC,25,4,SKL_KMplusplus,SQRL2,sparse,time,60.06602215766907
PBMC,25,4,SKL_KMplusplus,SQRL2,sparse,cost,240883376
PBMC,25,4,MC_KMplusplus,SQRL2,sparse,time,5.533758163452148
PBMC,25,4,MC_KMplusplus,SQRL2,sparse,cost,235601860
PBMC,25,4,MC_KMpp_and_LSpp,SQRL2,sparse,time,17.69963550567627
PBMC,25,4,MC_KMplusplusLSpp,SQRL2,sparse,cost,232720608
PBMC,25,4,MC_KM++,JSD,sparse,time,6.836198091506958
PBMC,25,4,MC_KM++,JSD,sparse,cost,3410.566896257922
PBMC,25,4,MC_KMLS++,JSD,sparse,time,24.937394380569458
PBMC,25,4,MC_KMLS++,JSD,sparse,cost,3437.363272747025
PBMC,25,4,MC_KM++,MKL,sparse,time,6.291104078292847
PBMC,25,4,MC_KM++,MKL,sparse,cost,15788.153010889888
PBMC,25,4,MC_KMLS++,MKL,sparse,time,20.63212823867798
PBMC,25,4,MC_KMLS++,MKL,sparse,cost,17185.369041472673
PBMC,25,4,MC_KM++,HELL,sparse,time,5.47072172164917
PBMC,25,4,MC_KM++,HELL,sparse,cost,16286.964148788653
PBMC,25,4,MC_KMLS++,HELL,sparse,time,16.97122073173523
PBMC,25,4,MC_KMLS++,HELL,sparse,cost,16223.378175215166
PBMC,25,4,MC_KM++,BATMET,sparse,time,4.324904680252075
PBMC,25,4,MC_KM++,BATMET,sparse,cost,9294.20967190393
PBMC,25,4,MC_KMLS++,BATMET,sparse,time,14.724804401397705
PBMC,25,4,MC_KMLS++,BATMET,sparse,cost,9238.548730952149
PBMC,25,4,MC_KM++,BATDIST,sparse,time,4.343334674835205
PBMC,25,4,MC_KM++,BATDIST,sparse,cost,9289.528255338191
PBMC,25,4,MC_KMLS++,BATDIST,sparse,time,14.472943305969238
PBMC,25,4,MC_KMLS++,BATDIST,sparse,cost,9290.397197684404
PBMC,25,4,MC_KM++,RMKL,sparse,time,5.505230903625488
PBMC,25,4,MC_KM++,RMKL,sparse,cost,18331.140529222786
PBMC,25,4,MC_KMLS++,RMKL,sparse,time,17.59402298927307
PBMC,25,4,MC_KMLS++,RMKL,sparse,cost,15762.438996061683
PBMC,25,4,SKL_KMplusplus,SQRL2,dense,time,21.581050395965576
PBMC,25,4,SKL_KMplusplus,SQRL2,dense,cost,1e+308
PBMC,25,4,MC_KMplusplus,SQRL2,dense,time,1.1843857765197754
PBMC,25,4,MC_KMplusplus,SQRL2,dense,cost,185007120
PBMC,25,4,MC_KMpp_and_LSpp,SQRL2,dense,time,4.2633349895477295
PBMC,25,4,MC_KMplusplusLSpp,SQRL2,dense,cost,178081680
PBMC,50,4,SKL_KMplusplus,SQRL2,sparse,time,131.59178566932678
PBMC,50,4,SKL_KMplusplus,SQRL2,sparse,cost,218187584
PBMC,50,4,MC_KMplusplus,SQRL2,sparse,time,9.862178564071655
PBMC,50,4,MC_KMplusplus,SQRL2,sparse,cost,217669062
PBMC,50,4,MC_KMpp_and_LSpp,SQRL2,sparse,time,30.09721350669861
PBMC,50,4,MC_KMplusplusLSpp,SQRL2,sparse,cost,213311875
PBMC,50,4,MC_KM++,JSD,sparse,time,12.624845266342163
PBMC,50,4,MC_KM++,JSD,sparse,cost,3492.290089085698
PBMC,50,4,MC_KMLS++,JSD,sparse,time,39.983097076416016
PBMC,50,4,MC_KMLS++,JSD,sparse,cost,3362.8139451108873
PBMC,50,4,MC_KM++,MKL,sparse,time,12.872621059417725
PBMC,50,4,MC_KM++,MKL,sparse,cost,16078.143746197224
PBMC,50,4,MC_KMLS++,MKL,sparse,time,41.06118130683899
PBMC,50,4,MC_KMLS++,MKL,sparse,cost,16511.68060644716
PBMC,50,4,MC_KM++,HELL,sparse,time,11.10810136795044
PBMC,50,4,MC_KM++,HELL,sparse,cost,16069.845094901622
PBMC,50,4,MC_KMLS++,HELL,sparse,time,36.18469977378845
PBMC,50,4,MC_KMLS++,HELL,sparse,cost,15997.258164455881
PBMC,50,4,MC_KM++,BATMET,sparse,time,10.280687808990479
PBMC,50,4,MC_KM++,BATMET,sparse,cost,9119.930734469119
PBMC,50,4,MC_KMLS++,BATMET,sparse,time,31.64122700691223
PBMC,50,4,MC_KMLS++,BATMET,sparse,cost,9056.254192166889
PBMC,50,4,MC_KM++,BATDIST,sparse,time,9.81503415107727
PBMC,50,4,MC_KM++,BATDIST,sparse,cost,9085.01718375475
PBMC,50,4,MC_KMLS++,BATDIST,sparse,time,29.47423505783081
PBMC,50,4,MC_KMLS++,BATDIST,sparse,cost,9074.169051487683
PBMC,50,4,MC_KM++,RMKL,sparse,time,10.411346435546875
PBMC,50,4,MC_KM++,RMKL,sparse,cost,17976.4251973629
PBMC,50,4,MC_KMLS++,RMKL,sparse,time,33.762333393096924
PBMC,50,4,MC_KMLS++,RMKL,sparse,cost,15655.430471628904
PBMC,50,4,SKL_KMplusplus,SQRL2,dense,time,41.386565923690796
PBMC,50,4,SKL_KMplusplus,SQRL2,dense,cost,1e+308
PBMC,50,4,MC_KMplusplus,SQRL2,dense,time,2.427858829498291
PBMC,50,4,MC_KMplusplus,SQRL2,dense,cost,169220992
PBMC,50,4,MC_KMpp_and_LSpp,SQRL2,dense,time,7.138180255889893
PBMC,50,4,MC_KMplusplusLSpp,SQRL2,dense,cost,163283664
PBMC,100,4,SKL_KMplusplus,SQRL2,sparse,time,322.5298273563385
PBMC,100,4,SKL_KMplusplus,SQRL2,sparse,cost,207718368
PBMC,100,4,MC_KMplusplus,SQRL2,sparse,time,21.884217739105225
PBMC,100,4,MC_KMplusplus,SQRL2,sparse,cost,205717400
PBMC,100,4,MC_KMpp_and_LSpp,SQRL2,sparse,time,69.76995539665222
PBMC,100,4,MC_KMplusplusLSpp,SQRL2,sparse,cost,206799257
PBMC,100,4,MC_KM++,JSD,sparse,time,28.666213750839233
PBMC,100,4,MC_KM++,JSD,sparse,cost,3328.7449461594224
PBMC,100,4,MC_KMLS++,JSD,sparse,time,78.2834198474884
PBMC,100,4,MC_KMLS++,JSD,sparse,cost,3341.3307941239327
PBMC,100,4,MC_KM++,MKL,sparse,time,21.5334312915802
PBMC,100,4,MC_KM++,MKL,sparse,cost,15599.974061280489
PBMC,100,4,MC_KMLS++,MKL,sparse,time,68.5665352344513
PBMC,100,4,MC_KMLS++,MKL,sparse,cost,14825.515372470021
PBMC,100,4,MC_KM++,HELL,sparse,time,19.218556880950928
PBMC,100,4,MC_KM++,HELL,sparse,cost,15987.918972676147
PBMC,100,4,MC_KMLS++,HELL,sparse,time,63.089619159698486
PBMC,100,4,MC_KMLS++,HELL,sparse,cost,15715.29840425496
PBMC,100,4,MC_KM++,BATMET,sparse,time,19.447290897369385
PBMC,100,4,MC_KM++,BATMET,sparse,cost,8954.200032512355
PBMC,100,4,MC_KMLS++,BATMET,sparse,time,61.11313462257385
PBMC,100,4,MC_KMLS++,BATMET,sparse,cost,8827.328320295626
PBMC,100,4,MC_KM++,BATDIST,sparse,time,19.590189456939697
PBMC,100,4,MC_KM++,BATDIST,sparse,cost,8891.917252835996
PBMC,100,4,MC_KMLS++,BATDIST,sparse,time,59.43693256378174
PBMC,100,4,MC_KMLS++,BATDIST,sparse,cost,8894.74552486759
PBMC,100,4,MC_KM++,RMKL,sparse,time,22.544239282608032
PBMC,100,4,MC_KM++,RMKL,sparse,cost,17889.82091204822
PBMC,100,4,MC_KMLS++,RMKL,sparse,time,76.37208104133606
PBMC,100,4,MC_KMLS++,RMKL,sparse,cost,15593.078911446035
PBMC,100,4,SKL_KMplusplus,SQRL2,dense,time,89.70099306106567
PBMC,100,4,SKL_KMplusplus,SQRL2,dense,cost,1e+308
PBMC,100,4,MC_KMplusplus,SQRL2,dense,time,5.259045362472534
PBMC,100,4,MC_KMplusplus,SQRL2,dense,cost,158669296
PBMC,100,4,MC_KMpp_and_LSpp,SQRL2,dense,time,15.154039859771729
PBMC,100,4,MC_KMplusplusLSpp,SQRL2,dense,cost,155039200
Cao2m,3,4,SKL_KMplusplus,SQRL2,sparse,time,356.3990478515625
Cao2m,3,4,SKL_KMplusplus,SQRL2,sparse,cost,6918298112
Cao2m,3,4,MC_KMplusplus,SQRL2,sparse,time,20.298718452453613
Cao2m,3,4,MC_KMplusplus,SQRL2,sparse,cost,7012548183
Cao2m,3,4,MC_KMpp_and_LSpp,SQRL2,sparse,time,108.12425756454468
Cao2m,3,4,MC_KMplusplusLSpp,SQRL2,sparse,cost,6071682266
Cao2m,3,4,MC_KM++,JSD,sparse,time,30.86752986907959
Cao2m,3,4,MC_KM++,JSD,sparse,cost,162690.88243292645
Cao2m,3,4,MC_KMLS++,JSD,sparse,time,154.37235164642334
Cao2m,3,4,MC_KMLS++,JSD,sparse,cost,152921.94121123105
Cao2m,3,4,MC_KM++,MKL,sparse,time,32.295976877212524
Cao2m,3,4,MC_KM++,MKL,sparse,cost,960689.6025494337
Cao2m,3,4,MC_KMLS++,MKL,sparse,time,133.2642834186554
Cao2m,3,4,MC_KMLS++,MKL,sparse,cost,662906.7822701186
Cao2m,3,4,MC_KM++,HELL,sparse,time,26.560503005981445
